"Date","next_game_Date","Player","Name","PA","BA","BIP","BABIP","LA_median","H","pitcher","strikeout_pct","pitches_per_appearance","hip_last3","next_game_HIT"
2014-03-23,2014-03-23,Andre Ethier\ethiean01,Andre Ethier,4,0.0,1.0,0.0,,2.0,502239,0.1111111111111111,89.0000000000000000,4.0,1
2014-03-23,2014-03-23,Aaron Hill\hillaa01,Aaron Hill,4,0.33333,0.33333,1.0,,0.0,547943,0.5,87.0000000000000000,0.8,0
2014-03-30,2014-03-30,Andre Ethier\ethiean01,Andre Ethier,9,0.25,1.0,0.25,,0.0,488768,0.3333333333333333,96.0000000000000000,0.6666666666666666,0
2014-03-31,2014-03-31,Aaron Hill\hillaa01,Aaron Hill,9,0.16667,0.66667,0.25,,2.0,518516,0.5,78.0000000000000000,1.1911505205576143,1
2014-04-01,2014-04-01,Shin-Soo Choo\choosh01,Shin-Soo Choo,5,0.0,0.75,0.0,,2.0,150359,0.4074074074074074,97.0000000000000000,1.0264162343479801,1
2014-04-01,2014-04-01,Aaron Hill\hillaa01,Aaron Hill,14,0.3,0.8,0.375,,0.0,430912,0.16666666666666666,99.0000000000000000,1.6642168416541674,0
2014-04-01,2014-04-01,Andre Ethier\ethiean01,Andre Ethier,13,0.16667,0.83333,0.2,,0.0,453178,0.2777777777777778,103.0000000000000000,2.0,0
2014-04-01,2014-04-01,Hunter Pence\pencehu01,Hunter Pence,5,0.0,1.0,0.0,,0.0,489119,0.5357142857142857,92.0000000000000000,0.9856785739794097,0
2014-04-01,2014-04-01,Albert Pujols\pujolal01,Albert Pujols,4,0.25,0.75,0.33333,,1.0,541640,0.5,93.0000000000000000,0.7285714285714285,0
2014-04-01,2014-04-01,Ben Zobrist\zobribe01,Ben Zobrist,5,0.0,0.5,0.0,,0.0,571800,0.3888888888888889,83.0000000000000000,0.3750234389649353,0
2014-04-02,2014-04-02,Ian Desmond\desmoia01,Ian Desmond,5,0.25,1.0,0.25,,1.0,112526,0.3684210526315789,110.0000000000000000,1.124981250937453,1
2014-04-02,2014-04-02,Jayson Werth\werthja01,Jayson Werth,5,0.2,0.6,0.33333,,4.0,112526,0.3684210526315789,110.0000000000000000,1.124981250937453,1
2014-04-02,2014-04-02,Aaron Hill\hillaa01,Aaron Hill,18,0.21429,0.78571,0.27273,,0.0,218596,0.5172413793103449,103.0000000000000000,0.8526513339999711,0
2014-04-02,2014-04-02,Ben Zobrist\zobribe01,Ben Zobrist,9,0.0,0.83333,0.0,,1.0,279824,0.4642857142857143,108.0000000000000000,0.8556140144812052,1
2014-04-02,2014-04-02,Xander Bogaerts\bogaexa01,Xander Bogaerts,4,0.33333,1.0,0.33333,,1.0,434622,0.4074074074074074,96.0000000000000000,0.930578994520491,1
2014-04-02,2014-04-02,Shin-Soo Choo\choosh01,Shin-Soo Choo,10,0.28571,0.85714,0.33333,,1.0,452718,0.4,100.0000000000000000,0.7158730158730159,1
2014-04-02,2014-04-02,Andre Ethier\ethiean01,Andre Ethier,17,0.13333,0.73333,0.18182,,2.0,475115,0.6111111111111112,100.0000000000000000,0.9499775011249438,1
2014-04-02,2014-04-02,Jason Castro\castrja01,Jason Castro,4,0.33333,0.75,0.33333,,0.0,493133,0.5,91.0000000000000000,0.75,0
2014-04-02,2014-04-02,Hunter Pence\pencehu01,Hunter Pence,9,0.0,0.875,0.0,,0.0,502239,0.32142857142857145,93.0000000000000000,2.0,0
2014-04-02,2014-04-02,Mike Zunino\zuninmi01,Mike Zunino,5,0.2,0.2,1.0,,2.0,502327,0.45,83.0000000000000000,1.2,1
